"data";"valor"
"01/01/2012";"59708"
"01/02/2012";"59263"
"01/03/2012";"63323"
"01/04/2012";"65128"
"01/05/2012";"66570"
"01/06/2012";"67476"
"01/07/2012";"68163"
"01/08/2012";"69965"
"01/09/2012";"70727"
"01/10/2012";"70877"
"01/11/2012";"68837"
"01/12/2012";"69617"
"01/01/2013";"67707"
"01/02/2013";"69077"
"01/03/2013";"69850"
"01/04/2013";"68944"
"01/05/2013";"69438"
"01/06/2013";"70974"
"01/07/2013";"71207"
"01/08/2013";"72405"
"01/09/2013";"72930"
"01/10/2013";"72576"
"01/11/2013";"72443"
"01/12/2013";"72526"
"01/01/2014";"71677"
"01/02/2014";"72691"
"01/03/2014";"75200"
"01/04/2014";"75271"
"01/05/2014";"76891"
"01/06/2014";"79193"
"01/07/2014";"78553"
"01/08/2014";"78028"
"01/09/2014";"77856"
"01/10/2014";"76915"
"01/11/2014";"78248"
"01/12/2014";"79223"
"01/01/2015";"77684"
"01/02/2015";"77239"
"01/03/2015";"75393"
"01/04/2015";"77296"
"01/05/2015";"77716"
"01/06/2015";"79079"
"01/07/2015";"79099"
"01/08/2015";"79080"
"01/09/2015";"79224"
"01/10/2015";"78043"
"01/11/2015";"78827"
"01/12/2015";"84364"
"01/01/2016";"80426"
"01/02/2016";"79835"
"01/03/2016";"82844"
"01/04/2016";"80811"
"01/05/2016";"84462"
"01/06/2016";"84012"
"01/07/2016";"83179"
"01/08/2016";"82136"
"01/09/2016";"82506"
"01/10/2016";"81276"
"01/11/2016";"80698"
"01/12/2016";"83198"
"01/01/2017";"79339"
"01/02/2017";"79187"
"01/03/2017";"79079"
"01/04/2017";"77641"
"01/05/2017";"76816"
"01/06/2017";"77447"
"01/07/2017";"76333"
"01/08/2017";"75909"
"01/09/2017";"72411"
"01/10/2017";"71411"
"01/11/2017";"71525"
"01/12/2017";"73713"
"01/01/2018";"72337"
"01/02/2018";"74654"
"01/03/2018";"79198"
"01/04/2018";"81640"
"01/05/2018";"81559"
"01/06/2018";"83701"
"01/07/2018";"84178"
"01/08/2018";"86092"
"01/09/2018";"86147"
"01/10/2018";"85195"
"01/11/2018";"85793"
"01/12/2018";"87736"
"01/01/2019";"85561"
"01/02/2019";"85637"
"01/03/2019";"87061"
"01/04/2019";"85248"
"01/05/2019";"85449"
"01/06/2019";"85400"
"01/07/2019";"84852"
"01/08/2019";"84946"
"01/09/2019";"85038"
"01/10/2019";"83943"
"01/11/2019";"84479"
"01/12/2019";"84240"
"01/01/2020";"83142"
"01/02/2020";"83702"
"01/03/2020";"97424"
"01/04/2020";"102926"
"01/05/2020";"100623"
"01/06/2020";"99107"
"01/07/2020";"97960"
"01/08/2020";"100015"
"01/09/2020";"100193"
"01/10/2020";"99106"
"01/11/2020";"100494"
"01/12/2020";"101895"
"01/01/2021";"101474"
"01/02/2021";"103412"
"01/03/2021";"112098"
"01/04/2021";"120137"
"01/05/2021";"123822"
"01/06/2021";"122310"
"01/07/2021";"120585"
"01/08/2021";"121501"
"01/09/2021";"125075"
"01/10/2021";"126181"
"01/11/2021";"123605"
"01/12/2021";"124864"
"01/01/2022";"123779"
"01/02/2022";"129056"
"01/03/2022";"136029"
"01/04/2022";"140806"
"01/05/2022";"141914"
"01/06/2022";"137020"
"01/07/2022";"136820"
"01/08/2022";"132415"
"01/09/2022";"131532"
"01/10/2022";"129152"
"01/11/2022";"129266"
"01/12/2022";"129901"
